,(Revenue Report),이번 달로 가기,총매출,PACK,CARTON,GROCERY,MISC,VAPE,KRATOM,TOBACCO,BEER,후카,메인포스,카드,잡화 비율,카드/총매출,,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 베입,평균 크레이톰,평균 토바코,평균 맥주,누락,주별 총 누락,,Total,Cig,Groc,Misc,Tob,Beer,,
2018년 3월,매출 보고,3/28/2018 Wed,"$1,007.58",$60.37,$0.00,$8.44,$894.14,,,$5.99,$3.00,,-$736.58,$423.65,97.62%,42.05%,57.52%,,Week 1,$466.43,$66.33,$0.00,$2.19,$346.06,,,$27.05,$0.60,$271.00,$337.00,3/28/2018 Wed,"$1,007.58",$60.37,$8.44,$894.14,$5.99,$3.00,,
실제 수익,"$1,949.37",3/29/2018 Thu,$501.13,$49.05,$0.00,$1.00,$411.69,,,$30.69,$0.00,,-$501.13,$330.98,90.37%,66.05%,66.05%,,,,,,,,,,,,$0.00,,3/29/2018 Thu,$501.13,$49.05,$1.00,$411.69,$30.69,$0.00,,
보고 수익,"$1,612.37",3/30/2018 Fri,$155.46,$46.29,$0.00,$0.00,$53.54,,,$39.69,$0.00,,-$89.46,$27.80,37.88%,17.88%,31.08%,,,,,,,,,,,,$66.00,,3/30/2018 Fri,$155.46,$46.29,$0.00,$53.54,$39.69,$0.00,,
카드 수익,$960.36,3/31/2018 Sat,$285.20,$84.98,$0.00,$1.49,$133.28,,,$39.50,$0.00,,-$285.20,$177.93,51.41%,62.39%,62.39%,,,,,,,,,,,,$0.00,,3/31/2018 Sat,$285.20,$84.98,$1.49,$133.28,$39.50,$0.00,,
2018년 4월,매출 보고,4/1/2018 Sun,$382.77,$90.95,$0.00,$0.00,$237.64,,,$19.36,$0.00,,-$382.77,$248.43,68.29%,64.90%,64.90%,,,,,,,,,,,,$0.00,,4/1/2018 Sun,$382.77,$90.95,$0.00,$237.64,$19.36,$0.00,,
,,4/2/2018 Mon,$656.95,$90.43,$0.00,$2.78,$468.33,,,$22.66,$12.99,,-$629.38,$418.85,78.42%,63.76%,66.55%,,Week 2,$709.42,$90.29,$0.00,$2.25,$505.99,,,$31.95,$14.41,$27.57,"$1,207.29",4/2/2018 Mon,$656.95,$90.43,$2.78,$468.33,$22.66,$12.99,,
실제 수익,"$18,083.29",4/3/2018 Tue,"$1,089.58",$130.47,$0.00,$1.00,$785.41,,,$55.61,$17.99,,-$506.75,$212.96,79.29%,19.55%,42.02%,,,,,,,,,,,,$582.83,,4/3/2018 Tue,"$1,089.58",$130.47,$1.00,$785.41,$55.61,$17.99,,
보고 수익,"$12,908.43",4/4/2018 Wed,$708.06,$78.36,$0.00,$0.00,$512.20,,,$44.33,$8.77,,-$598.06,$472.50,79.57%,66.73%,79.01%,,,,,,,,,,,,$110.00,,4/4/2018 Wed,$708.06,$78.36,$0.00,$512.20,$44.33,$8.77,,
카드 수익,"$8,847.68",4/5/2018 Thu,$701.45,$116.64,$0.00,$5.97,$483.92,,,$31.10,$0.00,,-$592.05,$432.66,75.89%,61.68%,73.08%,,,,,,,,,,,,$109.40,,4/5/2018 Thu,$701.45,$116.64,$5.97,$483.92,$31.10,$0.00,,
,"$9,482.90",4/6/2018 Fri,$674.79,$92.50,$0.00,$1.00,$494.19,,,$25.72,$0.00,,-$507.65,$355.45,80.56%,52.68%,70.02%,,,,,,,,,,,,$167.14,,4/6/2018 Fri,$674.79,$92.50,$1.00,$494.19,$25.72,$0.00,,
담배 수익,"$3,425.53",4/7/2018 Sat,$620.62,$69.68,$0.00,$2.99,$422.12,,,$32.23,$37.16,,-$444.30,$324.40,74.82%,52.27%,73.01%,,,,,,,,,,,,$176.32,,4/7/2018 Sat,$620.62,$69.68,$2.99,$422.12,$32.23,$37.16,,
그로서리 수익,$109.88,4/8/2018 Sun,$514.46,$53.98,$0.00,$1.99,$375.75,,,$11.97,$23.98,,-$480.43,$357.60,80.34%,69.51%,74.43%,,,,,,,,,,,,$34.03,,4/8/2018 Sun,$514.46,$53.98,$1.99,$375.75,$11.97,$23.98,,
잡화 수익,"$11,504.69",4/9/2018 Mon,$647.06,$112.31,$175.35,$2.98,$277.35,,,$20.21,$0.00,,-$454.56,$334.98,47.15%,51.77%,73.69%,,Week 3,$598.93,$103.13,$25.05,$2.74,$368.88,,,$28.76,$16.53,$192.50,"$1,552.94",4/9/2018 Mon,$647.06,$287.66,$2.98,$277.35,$20.21,$0.00,,
토바코 수익,$862.84,4/10/2018 Tue,$747.64,$126.48,$0.00,$2.98,$511.21,,,$42.12,$1.39,,-$697.64,$563.20,75.21%,75.33%,80.73%,,,,,,,,,,,,$50.00,,4/10/2018 Tue,$747.64,$126.48,$2.98,$511.21,$42.12,$1.39,,
맥주 수익,$562.38,4/11/2018 Wed,$214.83,$87.73,$0.00,$1.29,$78.80,,,$15.77,$11.68,,-$132.33,$79.91,40.35%,37.20%,60.39%,,,,,,,,,,,,$82.50,,4/11/2018 Wed,$214.83,$87.73,$1.29,$78.80,$15.77,$11.68,,
,,4/12/2018 Thu,$709.47,$156.55,$0.00,$0.00,$454.77,,,$16.23,$17.38,,-$181.07,$104.06,70.51%,14.67%,57.47%,,,,,,,,,,,,$528.40,,4/12/2018 Thu,$709.47,$156.55,$0.00,$454.77,$16.23,$17.38,,
,,4/13/2018 Fri,$783.45,$78.77,$0.00,$7.96,$540.78,,,$38.22,$46.44,,-$399.59,$300.60,75.93%,38.37%,75.23%,,,,,,,,,,,,$383.86,,4/13/2018 Fri,$783.45,$78.77,$7.96,$540.78,$38.22,$46.44,,
,,4/14/2018 Sat,$627.39,$107.91,$0.00,$3.98,$378.78,,,$54.20,$25.43,,-$476.71,$337.35,66.41%,53.77%,70.77%,,,,,,,,,,,,$150.68,,4/14/2018 Sat,$627.39,$107.91,$3.98,$378.78,$54.20,$25.43,,
,,4/15/2018 Sun,$462.66,$52.13,$0.00,$0.00,$340.48,,,$14.57,$13.37,,-$297.66,$204.50,80.95%,44.20%,68.70%,,,,,,,,,,,,$165.00,,4/15/2018 Sun,$462.66,$52.13,$0.00,$340.48,$14.57,$13.37,,
,,4/16/2018 Mon,$471.79,$93.87,$0.00,$1.49,$324.64,,,$10.26,$0.00,,-$344.21,$224.43,75.69%,47.57%,65.20%,,Week 4,$578.83,$119.17,$23.62,$4.69,$319.33,,,$36.90,$22.72,$127.58,"$1,231.95",4/16/2018 Mon,$471.79,$93.87,$1.49,$324.64,$10.26,$0.00,,
,,4/17/2018 Tue,$487.49,$128.38,$0.00,$0.00,$224.95,,,$50.55,$39.25,,-$311.01,$192.58,50.76%,39.50%,61.92%,,,,,,,,,,,,$176.48,,4/17/2018 Tue,$487.49,$128.38,$0.00,$224.95,$50.55,$39.25,,
,,4/18/2018 Wed,$526.23,$132.73,$69.90,$6.47,$227.70,,,$13.41,$28.15,,-$388.76,$223.97,47.60%,42.56%,57.61%,,,,,,,,,,,,$137.47,,4/18/2018 Wed,$526.23,$202.63,$6.47,$227.70,$13.41,$28.15,,
,,4/19/2018 Thu,$643.53,$190.73,$0.00,$4.58,$336.16,,,$33.00,$20.98,,-$335.53,$140.89,57.46%,21.89%,41.99%,,,,,,,,,,,,$308.00,,4/19/2018 Thu,$643.53,$190.73,$4.58,$336.16,$33.00,$20.98,,
,,4/20/2018 Fri,$690.18,$100.87,$0.00,$14.03,$406.24,,,$70.53,$35.70,,-$453.04,$306.95,64.75%,44.47%,67.75%,,,,,,,,,,,,$237.14,,4/20/2018 Fri,$690.18,$100.87,$14.03,$406.24,$70.53,$35.70,,
,,4/21/2018 Sat,$852.71,$78.47,$95.45,$1.29,$538.96,,,$48.98,$11.99,,-$687.71,$525.75,69.53%,61.66%,76.45%,,,,,,,,,,,,$165.00,,4/21/2018 Sat,$852.71,$173.92,$1.29,$538.96,$48.98,$11.99,,
,,4/22/2018 Sun,$379.86,$109.16,$0.00,$4.98,$176.63,,,$31.54,$22.99,,-$299.58,$175.33,51.15%,46.16%,58.53%,,,,,,,,,,,,$80.28,,4/22/2018 Sun,$379.86,$109.16,$4.98,$176.63,$31.54,$22.99,,
,,4/23/2018 Mon,$598.56,$54.73,$0.00,$3.29,$410.53,,,$32.67,$44.26,,-$494.09,$307.98,75.44%,51.45%,62.33%,,Week 5,$575.96,$74.69,$22.83,$4.95,$373.97,,,$21.19,$26.68,$104.47,"$1,066.01",4/23/2018 Mon,$598.56,$54.73,$3.29,$410.53,$32.67,$44.26,,
,,4/24/2018 Tue,$750.91,$131.83,$79.90,$9.95,$432.56,,,$8.54,$20.37,,-$528.17,$434.93,63.37%,57.92%,82.35%,,,,,,,,,,,,$222.74,,4/24/2018 Tue,$750.91,$211.73,$9.95,$432.56,$8.54,$20.37,,
,,4/25/2018 Wed,$442.16,$74.65,$79.90,$3.49,$183.14,,,$22.91,$37.85,,-$351.49,$268.72,45.56%,60.77%,76.45%,,,,,,,,,,,,$90.67,,4/25/2018 Wed,$442.16,$154.55,$3.49,$183.14,$22.91,$37.85,,
,,4/26/2018 Thu,$503.49,$27.46,$0.00,$9.96,$384.85,,,$8.97,$26.44,,-$270.31,$128.99,84.08%,25.62%,47.72%,,,,,,,,,,,,$233.18,,4/26/2018 Thu,$503.49,$27.46,$9.96,$384.85,$8.97,$26.44,,
,,4/27/2018 Fri,$441.13,$96.84,$0.00,$6.47,$258.10,,,$10.54,$32.25,,-$441.13,$319.07,64.36%,72.33%,72.33%,,,,,,,,,,,,$0.00,,4/27/2018 Fri,$441.13,$96.84,$6.47,$258.10,$10.54,$32.25,,
,,4/28/2018 Sat,$592.92,$88.90,$0.00,$1.49,$402.99,,,$23.02,$22.57,,-$412.92,$308.16,74.76%,51.97%,74.63%,,,,,,,,,,,,$180.00,,4/28/2018 Sat,$592.92,$88.90,$1.49,$402.99,$23.02,$22.57,,
,,4/29/2018 Sun,$702.55,$48.39,$0.00,$0.00,$545.60,,,$41.66,$3.00,,-$467.60,$341.37,85.43%,48.59%,73.00%,,,,,,,,,,,,$234.95,,4/29/2018 Sun,$702.55,$48.39,$0.00,$545.60,$41.66,$3.00,,
,,4/30/2018 Mon,$458.60,$123.13,$0.00,$7.47,$289.91,,,$11.96,$0.00,,-$341.93,$201.11,69.54%,43.85%,58.82%,,Week 6,$742.29,$141.98,$31.73,$3.74,$445.28,,,$29.92,$24.33,$116.67,"$1,269.66",4/30/2018 Mon,$458.60,$123.13,$7.47,$289.91,$11.96,$0.00,,
