,dates,total,pack,carton,grcy,misc_total,vape,tobacco,beer,main,card
0,2018-03-28,1007.58,60.37,0.0,8.44,894.14,0.0,5.99,3.0,-736.58,423.65
1,2018-03-29,501.13,49.05,0.0,1.0,411.69,0.0,30.69,0.0,-501.13,330.98
2,2018-03-30,155.46,46.29,0.0,0.0,53.54,0.0,39.69,0.0,-89.46,27.8
3,2018-03-31,285.2,84.98,0.0,1.49,133.28,0.0,39.5,0.0,-285.2,177.93
4,2018-04-01,382.77,90.95,0.0,0.0,237.64,0.0,19.36,0.0,-382.77,248.43
5,2018-04-02,656.95,90.43,0.0,2.78,468.33,0.0,22.66,12.99,-629.38,418.85
6,2018-04-03,1089.58,130.47,0.0,1.0,785.41,0.0,55.61,17.99,-506.75,212.96
7,2018-04-04,708.06,78.36,0.0,0.0,512.2,0.0,44.33,8.77,-598.06,472.5
8,2018-04-05,701.45,116.64,0.0,5.97,483.92,0.0,31.1,0.0,-592.05,432.66
9,2018-04-06,674.79,92.5,0.0,1.0,494.19,0.0,25.72,0.0,-507.65,355.45
10,2018-04-07,620.62,69.68,0.0,2.99,422.12,0.0,32.23,37.16,-444.3,324.4
11,2018-04-08,514.46,53.98,0.0,1.99,375.75,0.0,11.97,23.98,-480.43,357.6
12,2018-04-09,647.06,112.31,175.35,2.98,277.35,0.0,20.21,0.0,-454.56,334.98
13,2018-04-10,747.64,126.48,0.0,2.98,511.21,0.0,42.12,1.39,-697.64,563.2
14,2018-04-11,214.83,87.73,0.0,1.29,78.8,0.0,15.77,11.68,-132.33,79.91
15,2018-04-12,709.47,156.55,0.0,0.0,454.77,0.0,16.23,17.38,-181.07,104.06
16,2018-04-13,783.45,78.77,0.0,7.96,540.78,0.0,38.22,46.44,-399.59,300.6
17,2018-04-14,627.39,107.91,0.0,3.98,378.78,0.0,54.2,25.43,-476.71,337.35
18,2018-04-15,462.66,52.13,0.0,0.0,340.48,0.0,14.57,13.37,-297.66,204.5
19,2018-04-16,471.79,93.87,0.0,1.49,324.64,0.0,10.26,0.0,-344.21,224.43
20,2018-04-17,487.49,128.38,0.0,0.0,224.95,0.0,50.55,39.25,-311.01,192.58
21,2018-04-18,526.23,132.73,69.9,6.47,227.7,0.0,13.41,28.15,-388.76,223.97
