매출 보고,(Revenue Report),이번 달로 가기,총매출,팩,카튼,그로서리,잡화,토바코,맥주,메인포스,카드,잡화 비율,카드/총매출,,주,주별 평균 매출,평균 담배 갑 ,평균 담배보루,평균 그로서리,평균 잡화,평균 토바코,평균 맥주,누락,주별 총 누락,,매출,담배 갑 ,담배보루,그로서리,잡화,토바코,맥주
2017년 3월,매출 보고,3/22/2017 Wed,"$1,597.98",$356.53,$138.89,$2.98,$750.50,$159.28,$50.27,"-$1,362.56",$852.54,51.66%,53.35%,,Week 1,"$1,444.37",$368.42,$62.20,$5.54,$679.83,$129.09,$73.76,$235.42,"$1,102.30",,,,,,,,
,,3/23/2017 Thur,"$1,355.14",$319.78,$27.99,$11.02,$670.83,$115.21,$92.76,-$930.31,$506.88,54.45%,37.40%,,,,,,,,,,$424.83,,,,,,,,,
실제 수익,"$13,861.83",3/24/2017 Fri,"$1,661.57",$387.85,$81.90,$3.67,$782.35,$150.11,$111.50,"-$1,442.03",$891.91,51.79%,53.68%,,,,,,,,,,$219.54,,,,,,,,,
보고 수익,"$11,114.90",3/25/2017 Sat,"$1,162.80",$409.53,$0.00,$4.47,$515.63,$91.77,$40.52,-$940.29,$595.48,48.78%,51.21%,,,,,,,,,,$222.51,,,,,,,,,
카드 수익,"$6,556.52",3/27/2017 Mon,"$1,732.84",$437.70,$217.08,$16.89,$610.32,$193.00,$107.52,"-$1,409.94",$831.28,38.74%,47.97%,,Week 2,"$1,641.54",$476.00,$141.48,$13.98,$620.69,$162.14,$83.54,$322.90,"$2,098.35",,,,,,,,
,"$4,558.38",3/28/2017 Tues,"$1,659.04",$405.40,$150.30,$4.97,$728.73,$128.10,$97.63,"-$1,333.80",$801.34,48.32%,48.30%,,,,,,,,,,$325.24,,,,,,,,,
,,3/29/2017 Wed,"$1,784.08",$467.40,$171.80,$25.05,$737.33,$146.45,$81.28,"-$1,346.51",$754.49,45.46%,42.29%,,,,,,,,,,$437.57,,,,,,,,,
,,3/30/2017 Thur,"$1,431.99",$489.07,$148.89,$9.51,$483.10,$92.17,$85.02,"-$1,102.49",$672.46,37.11%,46.96%,,,,,,,,,,$329.50,,,,,,,,,
,,3/31/2017 Fri,"$1,476.39",$481.96,$81.90,$15.42,$487.54,$210.25,$70.89,"-$1,246.97",$650.14,36.32%,44.04%,,,,,,,,,,$229.42,,,,,,,,,
2017년 4월,매출 보고,4/1/2017 Sat,"$1,764.88",$574.46,$78.90,$12.02,$677.11,$202.88,$58.92,"-$1,311.16",$712.85,42.20%,40.39%,,,,,,,,,,$453.72,,,,,,,,,
,,4/3/2017 Mon,"$1,274.33",$461.54,$0.00,$16.60,$387.44,$163.11,$129.69,"-$1,056.40",$598.11,33.44%,46.94%,,Week 3,"$1,700.97",$527.03,$90.41,$14.72,$670.08,$146.18,$97.77,$217.93,"$2,284.07",,,,,,,,
실제 수익,"$46,850.99",4/4/2017 Tues,"$1,909.19",$507.00,$59.90,$15.22,$940.11,$141.33,$72.01,"-$1,428.05",$997.28,54.17%,52.24%,,,,,,,,,,$481.14,,,,,,,,,
보고 수익,"$34,738.05",4/5/2017 Wed,"$1,633.19",$635.02,$0.00,$15.12,$591.32,$130.51,$112.61,"-$1,388.65",$700.99,39.83%,42.92%,,,,,,,,,,$244.54,,,,,,,,,
카드 수익,"$21,892.28",4/6/2017 Thur,"$1,340.10",$415.31,$77.90,$7.64,$497.43,$134.71,$85.14,"-$1,108.33",$699.14,40.83%,52.17%,,,,,,,,,,$231.77,,,,,,,,,
,"$18,141.04",4/7/2017 Fri,"$1,739.27",$566.49,$246.86,$25.04,$528.94,$106.42,$106.94,"-$1,423.65",$868.64,33.45%,49.94%,,,,,,,,,,$315.62,,,,,,,,,
담배 수익,"$16,597.01",4/8/2017 Sat,"$2,309.71",$576.79,$157.80,$8.67,"$1,075.21",$201.00,$80.22,"-$1,516.64",$807.07,51.21%,34.94%,,,,,,,,,,$793.07,,,,,,,,,
그로서리 수익,$335.08,4/10/2017 Mon,"$1,503.21",$642.37,$59.90,$7.54,$476.61,$101.49,$78.50,"-$1,227.26",$553.92,34.88%,36.85%,,Week 4,"$1,840.59",$559.51,$115.47,$10.36,$737.54,$193.39,$65.95,$275.95,"$2,637.43",,,,,,,,
잡화 수익,"$17,641.93",4/11/2017 Tues,"$1,499.96",$441.72,$0.00,$2.18,$665.73,$188.08,$65.74,"-$1,149.10",$798.30,48.82%,53.22%,,,,,,,,,,$350.86,,,,,,,,,
토바코 수익,"$4,704.56",4/12/2017 Wed,"$1,829.73",$521.17,$23.99,$13.41,$871.73,$226.21,$65.10,"-$1,112.89",$822.39,52.41%,44.95%,,,,,,,,,,$716.84,,,,,,,,,
맥주 수익,"$2,425.72",4/13/2017 Thur,"$1,764.49",$414.50,$203.20,$6.35,$723.79,$194.69,$58.55,"-$1,429.66","$1,009.60",45.12%,57.22%,,,,,,,,,,$334.83,,,,,,,,,
,,4/14/2017 Fri,"$2,359.61",$695.91,$244.90,$15.60,$867.39,$244.75,$75.50,"-$1,812.62","$1,278.33",40.44%,54.18%,,,,,,,,,,$546.99,,,,,,,,,
,,4/15/2017 Sat,"$2,086.51",$641.38,$160.80,$17.08,$819.98,$205.11,$52.32,"-$1,674.55","$1,096.99",43.23%,52.58%,,,,,,,,,,$411.96,,,,,,,,,
,,4/17/2017 Mon,"$1,572.49",$528.67,$129.80,$15.74,$412.56,$198.76,$143.82,"-$1,252.61",$714.22,28.86%,45.42%,,Week 5,"$2,083.89",$577.90,$185.03,$10.68,$741.39,$215.50,$116.46,$319.88,"$3,720.09",,,,,,,,
,,4/18/2017 Tues,"$2,114.63",$635.92,$162.79,$15.06,$865.48,$157.76,$84.32,"-$1,375.38",$713.64,45.02%,33.75%,,,,,,,,,,$739.25,,,,,,,,,
,,4/19/2017 Wed,"$1,780.51",$749.57,$166.80,$5.47,$365.96,$218.01,$112.71,"-$1,446.28",$701.42,22.61%,39.39%,,,,,,,,,,$334.23,,,,,,,,,
,,4/20/2017 Thur,"$2,078.10",$545.30,$165.80,$6.16,$711.45,$326.33,$133.95,"-$1,400.01",$990.88,37.66%,47.68%,,,,,,,,,,$678.09,,,,,,,,,
,,4/21/2017 Fri,"$2,260.74",$478.70,$239.70,$11.70,$950.37,$181.98,$135.28,"-$1,506.23",$990.71,46.24%,43.82%,,,,,,,,,,$754.51,,,,,,,,,
,,4/22/2017 Sat,"$2,696.86",$529.25,$245.30,$9.96,"$1,142.51",$210.16,$88.66,"-$1,802.73","$1,370.39",46.60%,50.81%,,,,,,,,,,$894.13,,,,,,,,,
,,4/24/2017 Mon,"$1,949.56",$575.89,$59.90,$27.55,$791.45,$205.37,$112.07,"-$1,280.69",$796.20,44.66%,40.84%,,Week 6,"$1,888.91",$538.06,$172.77,$18.09,$678.47,$195.21,$114.29,$668.87,"$3,017.63",,,,,,,,
,,4/25/2017 Tues,"$1,914.23",$650.52,$212.20,$20.81,$419.47,$280.12,$156.90,"-$1,567.91",$878.63,24.10%,45.90%,,,,,,,,,,$346.32,,,,,,,,,
,,4/26/2017 Wed,"$1,598.26",$483.86,$59.90,$13.09,$552.88,$209.77,$132.36,"-$1,321.96",$880.23,38.05%,55.07%,,,,,,,,,,$276.30,,,,,,,,,
,,4/27/2017 Thur,"$1,624.98",$439.35,$140.30,$13.19,$669.89,$133.58,$80.81,"-$1,121.83",$725.50,45.35%,44.65%,,,,,,,,,,$503.15,,,,,,,,,
,,4/28/2017 Fri,"$1,892.12",$599.16,$239.70,$11.32,$607.20,$164.75,$97.82,"-$1,369.65",$987.71,35.30%,52.20%,,,,,,,,,,$522.47,,,,,,,,,
,,4/29/2017 Sat,"$2,354.33",$479.58,$324.60,$22.56,"$1,029.92",$177.68,$105.78,"-$1,653.81","$1,199.14",48.12%,50.93%,,,,,,,,,,$700.52,,,,,,,,,
2017년 5월,매출 보고,5/1/2017 Mon,"$2,155.85",$540.21,$311.69,$12.61,$806.15,$194.54,$94.49,"-$1,674.51","$1,262.27",41.13%,58.55%,,Week 7,"$1,832.49",$507.21,$206.23,$16.65,$615.33,$216.35,$103.33,$481.34,"$3,442.44",,,,,,,,
,,5/2/2017 Tues,"$1,641.49",$508.36,$141.30,$13.02,$530.42,$196.34,$101.51,"-$1,078.08",$666.25,35.54%,40.59%,,,,,,,,,,$563.41,,,,,,,,,
실제 수익,"$61,184.38",5/3/2017 Wed,"$1,697.53",$531.14,$59.90,$18.69,$604.45,$192.40,$133.38,"-$1,155.73",$727.85,39.17%,42.88%,,,,,,,,,,$541.80,,,,,,,,,
보고 수익,"$43,083.50",5/4/2017 Thur,"$1,720.65",$429.77,$174.80,$22.12,$653.11,$227.80,$57.02,"-$1,313.58",$559.47,41.75%,32.52%,,,,,,,,,,$407.07,,,,,,,,,
