,dates,total,pack,carton,grcy,misc_total,tobacco,beer,main,card
0,2017-03-22,1597.98,356.53,138.89,2.98,750.5,159.28,50.27,-1362.56,852.54
1,2017-03-23,1355.14,319.78,27.99,11.02,670.83,115.21,92.76,-930.31,506.88
2,2017-03-24,1661.57,387.85,81.9,3.67,782.35,150.11,111.5,-1442.03,891.91
3,2017-03-25,1162.8,409.53,0.0,4.47,515.63,91.77,40.52,-940.29,595.48
4,2017-03-27,1732.84,437.7,217.08,16.89,610.32,193.0,107.52,-1409.94,831.28
5,2017-03-28,1659.04,405.4,150.3,4.97,728.73,128.1,97.63,-1333.8,801.34
6,2017-03-29,1784.08,467.4,171.8,25.05,737.33,146.45,81.28,-1346.51,754.49
7,2017-03-30,1431.99,489.07,148.89,9.51,483.1,92.17,85.02,-1102.49,672.46
8,2017-03-31,1476.39,481.96,81.9,15.42,487.54,210.25,70.89,-1246.97,650.14
9,2017-04-01,1764.88,574.46,78.9,12.02,677.11,202.88,58.92,-1311.16,712.85
10,2017-04-03,1274.33,461.54,0.0,16.6,387.44,163.11,129.69,-1056.4,598.11
11,2017-04-04,1909.19,507.0,59.9,15.22,940.11,141.33,72.01,-1428.05,997.28
12,2017-04-05,1633.19,635.02,0.0,15.12,591.32,130.51,112.61,-1388.65,700.99
13,2017-04-06,1340.1,415.31,77.9,7.64,497.43,134.71,85.14,-1108.33,699.14
14,2017-04-07,1739.27,566.49,246.86,25.04,528.94,106.42,106.94,-1423.65,868.64
15,2017-04-08,2309.71,576.79,157.8,8.67,1075.21,201.0,80.22,-1516.64,807.07
16,2017-04-10,1503.21,642.37,59.9,7.54,476.61,101.49,78.5,-1227.26,553.92
17,2017-04-11,1499.96,441.72,0.0,2.18,665.73,188.08,65.74,-1149.1,798.3
18,2017-04-12,1829.73,521.17,23.99,13.41,871.73,226.21,65.1,-1112.89,822.39
19,2017-04-13,1764.49,414.5,203.2,6.35,723.79,194.69,58.55,-1429.66,1009.6
20,2017-04-14,2359.61,695.91,244.9,15.6,867.39,244.75,75.5,-1812.62,1278.33
21,2017-04-15,2086.51,641.38,160.8,17.08,819.98,205.11,52.32,-1674.55,1096.99
22,2017-04-17,1572.49,528.67,129.8,15.74,412.56,198.76,143.82,-1252.61,714.22
23,2017-04-18,2114.63,635.92,162.79,15.06,865.48,157.76,84.32,-1375.38,713.64
24,2017-04-19,1780.51,749.57,166.8,5.47,365.96,218.01,112.71,-1446.28,701.42
25,2017-04-20,2078.1,545.3,165.8,6.16,711.45,326.33,133.95,-1400.01,990.88
26,2017-04-21,2260.74,478.7,239.7,11.7,950.37,181.98,135.28,-1506.23,990.71
27,2017-04-22,2696.86,529.25,245.3,9.96,1142.51,210.16,88.66,-1802.73,1370.39
28,2017-04-24,1949.56,575.89,59.9,27.55,791.45,205.37,112.07,-1280.69,796.2
29,2017-04-25,1914.23,650.52,212.2,20.81,419.47,280.12,156.9,-1567.91,878.63
30,2017-04-26,1598.26,483.86,59.9,13.09,552.88,209.77,132.36,-1321.96,880.23
31,2017-04-27,1624.98,439.35,140.3,13.19,669.89,133.58,80.81,-1121.83,725.5
32,2017-04-28,1892.12,599.16,239.7,11.32,607.2,164.75,97.82,-1369.65,987.71
33,2017-04-29,2354.33,479.58,324.6,22.56,1029.92,177.68,105.78,-1653.81,1199.14
34,2017-05-01,2155.85,540.21,311.69,12.61,806.15,194.54,94.49,-1674.51,1262.27
35,2017-05-02,1641.49,508.36,141.3,13.02,530.42,196.34,101.51,-1078.08,666.25
36,2017-05-03,1697.53,531.14,59.9,18.69,604.45,192.4,133.38,-1155.73,727.85
37,2017-05-04,1720.65,429.77,174.8,22.12,653.11,227.8,57.02,-1313.58,559.47
38,2017-05-05,1793.63,596.96,306.8,12.82,358.32,260.33,94.26,-1318.36,937.04
39,2017-05-06,2566.02,586.44,429.1,20.74,901.76,233.53,160.96,-1981.58,1363.37
40,2017-05-07,1252.25,357.62,19.99,16.54,453.07,209.48,81.66,-863.14,346.61
41,2017-05-08,1706.96,609.77,129.8,12.54,485.63,233.62,74.95,-1426.51,797.2
42,2017-05-09,2004.06,709.1,0.0,24.85,766.33,191.82,127.79,-1228.59,846.69
43,2017-05-10,1870.84,643.38,69.9,30.1,570.88,277.95,109.45,-1297.45,807.16
44,2017-05-11,1660.5,507.24,70.1,39.64,501.46,356.67,123.7,-915.89,643.06
45,2017-05-12,2420.51,686.5,383.5,22.36,929.9,133.2,105.95,-1647.75,1336.63
46,2017-05-13,2003.61,660.58,152.3,31.53,752.51,135.64,89.52,-1315.35,847.0
47,2017-05-14,1816.69,354.15,366.5,11.21,627.93,194.37,143.0,-1211.82,895.78
48,2017-05-15,1850.04,692.55,78.9,23.08,569.65,241.15,77.38,-1335.82,664.29
49,2017-05-16,1952.91,688.99,224.2,27.26,603.91,144.63,87.81,-1349.46,519.73
50,2017-05-17,2223.54,672.6,157.5,41.89,719.19,327.23,92.6,-1500.24,1097.81
51,2017-05-18,1916.78,745.71,216.7,33.7,436.93,194.12,110.85,-1501.13,825.85
52,2017-05-19,2739.72,755.26,231.2,26.05,1159.82,173.76,145.01,-2035.5,1648.7
53,2017-05-20,2112.74,697.39,222.2,73.01,536.89,268.62,122.73,-1561.49,967.44
54,2017-05-21,1299.47,480.0,78.9,18.59,421.33,133.18,39.74,-844.22,493.4
55,2017-05-22,1637.8,625.98,69.9,12.06,342.1,274.21,162.29,-1328.51,933.23
56,2017-05-23,2418.32,743.22,557.9,43.77,490.93,241.2,121.61,-1973.07,1223.45
57,2017-05-24,1848.29,586.17,131.3,31.89,608.98,198.33,124.33,-1255.73,726.38
58,2017-05-25,2310.6,653.91,235.7,25.48,771.96,303.93,109.81,-1505.92,1230.77
59,2017-05-26,2383.88,651.55,352.5,34.12,822.56,175.03,132.28,-1465.02,1184.6
60,2017-05-27,2845.07,988.6,146.8,45.05,998.63,176.94,231.22,-1857.77,1401.84
61,2017-05-28,1363.34,394.5,236.7,29.9,310.06,172.86,95.91,-1046.39,720.91
62,2017-05-29,2413.37,764.39,270.1,46.9,872.28,163.65,76.68,-1443.13,1114.74
63,2017-05-30,1851.88,581.24,148.8,36.42,580.34,242.02,94.86,-1295.73,803.55
64,2017-05-31,1706.04,526.61,253.6,23.9,349.4,315.47,82.05,-1356.03,762.88
65,2017-06-01,2303.21,801.12,81.9,28.0,750.08,304.57,128.96,-1567.88,1118.23
66,2017-06-02,2829.72,799.28,431.9,37.87,900.5,220.76,182.28,-1845.38,1292.61
67,2017-06-03,2266.34,620.36,147.8,21.24,926.84,227.05,117.01,-1299.15,956.63
68,2017-06-04,1845.14,470.86,394.4,22.23,609.06,93.82,86.97,-1425.74,1015.55
69,2017-06-05,2062.99,685.62,119.8,15.24,689.47,242.16,123.17,-1337.9,914.36
70,2017-06-06,1834.03,786.46,160.8,33.51,379.26,193.11,114.07,-1408.58,982.72
71,2017-06-07,1499.15,604.94,0.0,31.91,352.91,230.27,143.99,-939.22,416.18
72,2017-06-08,1730.1,641.16,78.9,47.12,537.17,167.98,101.59,-1227.47,938.79
73,2017-06-09,2418.17,862.2,78.9,35.14,800.87,253.37,168.43,-1701.07,1312.08
74,2017-06-10,2293.81,653.55,592.6,41.32,569.41,162.83,65.99,-1688.55,1292.48
75,2017-06-11,1717.85,419.43,382.5,11.99,397.49,215.87,134.47,-1256.51,816.68
76,2017-06-12,2022.48,627.93,78.9,41.99,763.8,220.29,105.88,-1166.93,768.58
77,2017-06-13,1673.44,486.72,305.6,35.86,433.58,161.83,98.59,-1198.09,730.88
78,2017-06-14,2039.29,740.9,129.8,26.51,433.56,379.45,144.33,-1506.75,848.95
79,2017-06-15,1829.58,669.67,229.2,23.24,501.35,137.67,103.04,-1280.92,959.0
80,2017-06-16,2704.44,655.28,282.6,56.4,1061.41,229.62,174.89,-2075.85,1643.32
81,2017-06-17,2783.17,824.78,0.0,95.44,1162.75,299.85,149.48,-1897.89,1577.23
82,2017-06-18,1263.1,327.73,158.29,41.29,348.18,220.33,52.85,-904.06,578.85
83,2017-06-19,1894.59,610.04,211.2,16.71,627.14,120.99,137.53,-1221.44,832.96
84,2017-06-20,2622.03,962.65,290.1,46.05,636.66,241.98,207.09,-1641.19,1170.32
85,2017-06-21,2269.83,608.88,152.3,10.29,910.82,246.07,134.91,-1399.28,1005.81
86,2017-06-22,2701.19,728.09,179.7,48.03,1146.03,223.51,131.0,-1625.69,1178.27
87,2017-06-23,2784.2,884.54,318.6,40.32,892.35,242.47,153.6,-1730.28,1316.27
88,2017-06-24,2382.97,778.14,455.4,27.77,538.29,157.4,209.28,-1702.8,1254.92
89,2017-06-25,1534.79,652.4,92.9,25.98,317.28,219.0,88.07,-1135.13,578.36
90,2017-06-26,2211.81,792.33,302.8,31.64,476.6,238.79,145.18,-1476.42,1256.94
91,2017-06-27,1916.89,636.18,138.8,11.77,613.2,223.52,119.51,-1167.5,945.27
92,2017-06-28,1821.07,647.69,78.9,33.5,557.52,249.13,88.97,-1137.47,681.62
93,2017-06-29,2168.11,690.75,166.47,316.1,505.84,344.4,144.55,-1179.13,788.45
94,2017-06-30,3072.81,749.22,349.5,62.85,1086.28,329.42,216.2,-2015.54,1668.26
95,2017-07-01,2378.26,685.93,379.5,56.18,653.1,207.99,180.46,-1623.27,1265.9
96,2017-07-02,2043.11,660.56,146.8,12.94,825.5,84.59,127.12,-1174.29,797.14
97,2017-07-03,2430.16,845.05,291.1,48.61,667.39,229.13,143.35,-1628.19,1149.44
98,2017-07-04,1660.47,661.3,59.9,28.88,567.08,131.9,61.04,-971.73,769.57
99,2017-07-05,2698.0,694.83,213.7,28.5,921.63,422.85,174.69,-1617.78,1214.97
100,2017-07-06,1998.03,578.72,374.7,42.41,473.94,254.26,92.28,-1394.88,968.02
101,2017-07-07,2561.48,603.06,318.6,28.01,854.01,363.85,161.24,-1765.08,1452.7
102,2017-07-08,2313.21,759.22,142.8,48.52,819.96,198.88,133.99,-1380.71,823.92
103,2017-07-09,1680.58,419.24,78.9,20.64,305.05,287.51,120.07,-1136.85,997.66
104,2017-07-10,2341.78,787.89,227.7,30.77,717.89,239.64,125.74,-1465.36,1194.14
105,2017-07-11,2020.56,618.87,226.7,29.15,645.38,177.9,139.03,-1271.82,948.9
106,2017-07-12,2716.15,583.7,1185.9,22.74,917.72,263.44,97.52,-1531.33,1097.41
107,2017-07-13,2379.84,655.39,141.38,66.76,835.38,355.78,110.53,-1367.13,1030.22
108,2017-07-14,3033.36,876.93,350.5,48.21,1012.18,208.18,190.39,-1962.9,1596.09
109,2017-07-15,2316.82,678.35,71.4,44.27,925.66,240.11,132.48,-1318.32,1046.6
110,2017-07-16,2359.61,578.46,157.8,42.22,1017.35,257.6,94.48,-1273.75,973.41
111,2017-07-17,2217.88,569.76,217.7,26.68,867.77,196.81,137.68,-1516.04,1212.07
112,2017-07-18,2228.24,633.73,234.8,37.72,770.36,208.71,140.93,-1531.56,1104.84
113,2017-07-19,2237.94,634.77,309.3,43.88,680.97,231.95,94.63,-1337.53,900.29
114,2017-07-20,2093.18,577.57,384.5,37.27,574.29,230.11,115.15,-1222.2,1013.83
115,2017-07-21,2416.34,875.13,220.7,52.51,520.12,443.99,192.57,-1696.67,1371.64
116,2017-07-22,2944.87,975.29,220.2,24.33,1071.6,190.05,195.87,-1810.23,1353.34
117,2017-07-23,1826.25,483.18,78.9,13.62,648.03,300.9,135.74,-1109.53,782.51
118,2017-07-24,2162.14,645.24,152.3,49.78,625.57,338.09,154.74,-1308.13,930.94
119,2017-07-25,2149.16,898.03,261.1,26.22,446.16,193.3,129.32,-1476.09,1053.27
120,2017-07-26,2365.21,782.75,314.6,52.32,706.85,199.85,94.22,-1752.14,1403.47
121,2017-07-27,2229.01,747.42,160.8,47.41,687.34,280.84,117.9,-1537.53,1234.9
122,2017-07-28,2388.31,792.86,287.5,30.31,621.16,261.46,178.28,-1833.95,1335.12
123,2017-07-29,2649.93,961.87,71.4,16.98,1008.37,194.24,155.93,-1648.01,1185.56
124,2017-07-30,2397.3,552.22,455.4,38.47,809.37,186.03,138.29,-1975.97,1432.08
125,2017-07-31,2862.33,815.07,413.8,108.48,733.61,374.22,158.01,-2340.24,1684.55
126,2017-08-01,2237.01,716.79,78.9,36.35,832.25,286.96,120.64,-1531.55,1111.17
127,2017-08-02,2028.1,608.37,70.4,36.45,592.66,372.07,164.06,-1443.88,754.91
128,2017-08-03,2381.12,617.29,315.3,45.73,757.59,297.86,132.34,-1643.64,1183.64
129,2017-08-04,3029.49,839.7,305.6,47.84,1027.89,334.85,198.88,-1999.23,1348.91
130,2017-08-05,2362.69,558.41,148.8,53.22,918.1,373.87,96.61,-1412.8,994.66
131,2017-08-06,2237.26,479.16,208.7,35.35,993.43,224.02,93.53,-1250.58,939.57
132,2017-08-07,2167.82,681.05,452.9,49.92,312.73,304.77,170.06,-1719.9,1059.63
133,2017-08-08,2153.02,638.98,143.8,37.39,706.69,281.03,150.0,-1376.14,968.9
134,2017-08-09,2733.93,870.96,171.8,47.35,1035.11,271.88,88.3,-1711.12,1272.03
135,2017-08-10,2337.02,622.57,277.6,33.38,764.21,306.21,121.27,-1647.01,1218.87
136,2017-08-11,2373.2,879.77,148.3,38.76,651.94,295.06,144.24,-1687.2,1271.18
137,2017-08-12,2442.46,559.28,320.6,46.51,821.55,288.2,184.3,-1641.37,1123.7
138,2017-08-13,2472.88,391.28,160.8,24.48,1280.12,244.41,147.34,-1456.97,1063.76
139,2017-08-14,2432.05,714.22,239.4,21.01,873.97,229.75,127.72,-1702.33,1247.99
140,2017-08-15,2714.53,720.11,157.8,22.0,1142.45,327.02,226.36,-1848.76,1424.5
141,2017-08-16,2311.07,787.79,152.3,26.97,754.88,230.33,148.56,-1510.69,970.78
142,2017-08-17,2575.64,642.35,150.3,28.54,910.2,437.15,167.99,-1696.41,1240.86
143,2017-08-18,2690.88,798.92,360.92,31.8,857.05,218.37,179.94,-1744.53,1315.03
144,2017-08-19,3002.73,734.83,294.1,43.54,1298.53,222.06,134.73,-1703.53,1235.65
145,2017-08-20,2154.1,734.3,78.9,33.03,897.05,144.86,70.08,-1097.43,616.88
146,2017-08-21,1874.92,471.17,119.8,33.45,712.44,295.11,72.43,-1207.69,925.38
147,2017-08-22,2278.24,800.16,78.9,27.8,679.84,340.76,143.52,-1582.05,1146.54
148,2017-08-23,2241.88,701.77,296.1,51.82,547.94,272.48,169.68,-1465.33,895.88
149,2017-08-24,2433.64,782.88,174.8,23.68,713.87,375.11,142.08,-1878.76,1324.42
150,2017-08-25,2282.59,724.86,78.9,36.05,818.57,260.91,156.46,-1384.86,909.07
151,2017-08-26,2422.0,617.7,305.1,49.17,770.6,262.38,197.04,-1551.63,1184.69
152,2017-08-27,1802.26,556.12,149.3,34.23,628.38,236.08,69.36,-1238.82,972.73
153,2017-08-28,2480.26,784.87,288.6,37.98,780.17,215.4,363.46,-1671.99,1271.18
154,2017-08-29,2097.17,690.82,0.0,37.26,826.55,243.62,110.75,-1265.91,757.08
155,2017-08-30,1987.47,609.81,214.7,31.9,686.41,164.07,100.11,-1213.87,995.45
156,2017-08-31,2498.05,818.54,226.7,19.95,770.32,302.1,133.37,-1684.82,1056.76
157,2017-09-01,3262.44,792.07,78.9,23.18,1694.96,275.69,101.53,-1890.07,1310.44
158,2017-09-02,2502.36,707.63,237.2,24.45,881.49,217.11,207.03,-1320.62,875.23
