,dates,total,pack,carton,grcy,grcy_nt,misc_total,vape,tobacco,beer,cigar,lotto,p_o,scratch,scp_o,main,card
0,2020-07-01,1524.0,580.84,0.0,224.9,0.0,20.32,0.0,122.44,439.68,0.0,0.0,0.0,0.0,0.0,-1524.0,662.13
1,2020-07-02,1580.41,543.89,0.0,326.5,0.0,49.21,0.0,95.56,424.22,0.0,0.0,0.0,0.0,0.0,-1580.41,910.99
2,2020-07-03,2205.65,803.29,0.0,266.26,0.0,150.82,0.0,112.75,662.65,0.0,0.0,0.0,0.0,0.0,-2205.65,1295.98
6,2020-07-07,1059.06,450.29,0.0,102.78,0.0,49.06,0.0,61.23,301.79,0.0,0.0,0.0,0.0,0.0,-1059.06,418.33
7,2020-07-08,1578.4,581.69,0.0,167.32,14.62,79.47,55.97,64.66,472.38,0.0,0.0,0.0,0.0,0.0,-1578.4,797.5
8,2020-07-09,1690.63,583.25,82.7,199.81,5.87,159.47,96.94,75.61,333.66,0.0,0.0,0.0,0.0,0.0,-1690.63,827.64
9,2020-07-10,2112.67,682.47,0.0,192.46,28.28,116.8,47.97,70.92,784.08,0.0,0.0,0.0,0.0,0.0,-2112.67,1168.12
10,2020-07-11,1623.8,578.79,0.0,115.46,50.08,201.82,92.96,35.02,406.49,0.0,0.0,0.0,0.0,0.0,-1623.8,808.51
11,2020-07-12,1608.18,547.03,0.0,123.31,39.76,171.87,115.13,96.98,371.42,0.0,0.0,0.0,0.0,0.0,-1456.06,749.57
12,2020-07-13,1963.52,748.12,0.0,157.58,59.97,153.59,88.95,102.55,480.49,0.0,0.0,0.0,0.0,0.0,-1595.4,960.32
13,2020-07-14,1802.3,554.93,0.0,164.46,32.85,283.31,74.3,48.47,517.28,0.0,0.0,0.0,0.0,0.0,-1126.79,760.12
14,2020-07-15,1946.4,550.73,0.0,191.18,70.36,282.97,82.95,74.93,409.63,0.0,0.0,0.0,0.0,0.0,-1530.28,912.5
15,2020-07-16,2240.16,652.38,0.0,168.72,32.33,204.09,376.94,122.53,482.98,0.0,0.0,0.0,0.0,0.0,-1959.85,1287.15
16,2020-07-17,2384.22,657.4,0.0,140.58,42.04,457.31,202.83,114.7,556.22,0.0,0.0,0.0,0.0,0.0,-1906.47,1309.37
17,2020-07-18,2350.18,654.86,0.0,50.75,60.86,264.84,146.9,136.92,762.64,0.0,0.0,0.0,0.0,0.0,-2118.21,1497.4
18,2020-07-19,1842.31,537.77,0.0,163.25,23.32,230.4,157.91,85.56,477.19,0.0,0.0,0.0,0.0,0.0,-1398.76,936.91
19,2020-07-20,2170.59,740.0,0.0,210.87,39.02,330.48,140.89,96.11,419.24,0.0,0.0,0.0,0.0,0.0,-1533.01,877.83
20,2020-07-21,1905.09,369.63,82.7,195.66,32.87,209.26,156.88,107.65,580.04,0.0,0.0,0.0,0.0,0.0,-1539.29,1142.32
21,2020-07-22,1857.88,617.87,0.0,173.63,23.09,169.13,287.81,115.82,303.19,0.0,0.0,0.0,0.0,0.0,-1643.66,1079.46
22,2020-07-23,2031.73,528.81,87.1,106.1,97.79,261.08,150.91,109.18,535.61,0.0,0.0,0.0,0.0,0.0,-1698.84,1145.29
23,2020-07-24,2366.84,552.64,0.0,154.88,61.8,205.38,346.78,111.52,723.22,0.0,0.0,0.0,0.0,0.0,-2058.17,1569.53
24,2020-07-25,2206.41,493.77,0.0,161.38,9.22,317.01,247.82,132.85,587.13,0.0,0.0,0.0,0.0,0.0,-1905.92,1347.06
25,2020-07-26,1558.63,464.12,0.0,71.28,48.93,153.03,234.64,101.3,347.98,0.0,0.0,0.0,0.0,0.0,-1414.43,862.31
26,2020-07-27,2006.32,592.92,0.0,186.0,80.81,182.44,199.86,117.91,471.15,0.0,0.0,0.0,0.0,0.0,-1526.29,1056.13
27,2020-07-28,1821.84,408.36,0.0,211.74,37.44,279.73,152.89,80.3,489.0,0.0,0.0,0.0,0.0,0.0,-1291.22,833.18
28,2020-07-29,2076.15,505.67,0.0,184.63,40.31,417.29,134.89,95.93,512.17,0.0,0.0,0.0,0.0,0.0,-1562.09,947.95
29,2020-07-30,2202.59,704.68,0.0,164.76,96.5,216.45,135.1,127.79,565.66,0.0,0.0,0.0,0.0,0.0,-2052.17,1332.89
30,2020-07-31,3067.63,727.81,0.0,247.19,99.74,340.09,414.42,246.92,721.41,0.0,0.0,0.0,0.0,0.0,-2683.49,2006.78
31,2020-08-01,2093.1,537.94,0.0,108.98,81.48,363.71,211.24,101.2,507.15,0.0,0.0,0.0,0.0,0.0,-1815.8,1288.13
32,2020-08-02,2299.76,621.68,0.0,87.96,80.08,366.72,319.17,108.06,514.14,0.0,0.0,0.0,0.0,0.0,-1825.92,1288.96
33,2020-08-03,2537.6,687.92,83.5,122.1,117.97,392.84,241.67,136.71,535.72,0.0,0.0,0.0,0.0,0.0,-2052.34,1202.48
34,2020-08-04,2125.92,631.41,0.0,110.96,99.91,334.89,205.43,96.4,462.57,0.0,0.0,0.0,0.0,0.0,-1671.17,1102.92
35,2020-08-05,2073.55,498.59,0.0,119.63,92.36,323.5,257.77,111.58,489.84,0.0,0.0,0.0,0.0,0.0,-1751.34,1027.34
36,2020-08-06,2335.41,559.57,0.0,81.28,151.81,434.21,274.81,183.66,451.38,0.0,0.0,0.0,0.0,0.0,-1814.41,1229.5
37,2020-08-07,2751.55,557.56,0.0,121.09,100.48,437.26,346.75,136.76,810.39,0.0,0.0,0.0,0.0,0.0,-1925.11,1405.16
38,2020-08-08,2345.34,670.39,0.0,155.7,62.99,445.59,127.26,102.63,573.14,0.0,0.0,0.0,0.0,0.0,-1895.06,1345.98
39,2020-08-09,2150.35,433.31,0.0,133.8,91.72,154.23,333.16,118.07,698.73,0.0,0.0,0.0,0.0,0.0,-1794.42,1280.26
40,2020-08-10,2233.35,619.75,0.0,106.08,70.95,421.81,179.07,160.14,478.82,0.0,0.0,0.0,0.0,0.0,-1771.75,947.32
41,2020-08-11,2074.07,503.14,0.0,93.06,68.57,352.81,169.88,106.51,591.55,0.0,0.0,0.0,0.0,0.0,-1674.13,1093.25
42,2020-08-12,2340.16,679.37,0.0,70.99,94.95,414.91,261.1,122.4,491.25,0.0,0.0,0.0,0.0,0.0,-1845.11,1279.54
43,2020-08-13,2227.02,669.13,0.0,122.01,33.33,210.7,356.53,99.57,535.36,0.0,0.0,0.0,0.0,0.0,-1932.65,1253.47
44,2020-08-14,2242.51,571.05,0.0,131.16,91.01,190.67,243.04,191.58,628.22,0.0,0.0,0.0,0.0,0.0,-1813.48,1306.18
45,2020-08-15,2154.86,513.38,0.0,137.38,60.43,232.95,379.38,138.72,502.05,0.0,0.0,0.0,0.0,0.0,-1903.88,1375.7
46,2020-08-16,1911.99,301.08,79.29,68.55,59.79,386.4,208.66,109.44,527.4,0.0,0.0,0.0,0.0,0.0,-1540.63,940.0
47,2020-08-17,1828.52,508.46,0.0,92.56,69.88,234.4,210.28,108.66,444.24,0.0,0.0,0.0,0.0,0.0,-1303.92,882.65
48,2020-08-18,2185.48,489.14,0.0,99.91,86.64,295.33000000000004,348.14,152.06,372.27,0.0,0.0,0.0,0.0,0.0,-1487.61,1158.92
49,2020-08-19,2365.52,581.02,0.0,101.31,111.69,298.11,340.86,126.16,602.1,0.0,0.0,0.0,0.0,0.0,-2036.89,1479.51
50,2020-08-20,2410.53,525.74,83.5,121.76,67.82,299.65999999999997,504.09,202.41,392.38,0.0,0.0,0.0,0.0,0.0,-1957.39,1427.92
51,2020-08-21,2612.74,599.56,0.0,83.1,77.88,338.5,501.21,97.07,674.76,0.0,0.0,0.0,0.0,0.0,-2116.46,1498.66
52,2020-08-22,2646.86,607.22,0.0,142.94,53.66,515.3299999999999,418.44,137.72,535.64,0.0,0.0,0.0,0.0,0.0,-2304.07,1706.06
53,2020-08-23,1869.92,542.42,0.0,62.37,76.66,97.27000000000001,314.53,109.61,503.86,0.0,0.0,0.0,0.0,0.0,-1612.24,1153.9
54,2020-08-24,1739.84,476.58,0.0,103.58,45.19,371.44,169.94,113.42,305.17,0.0,0.0,0.0,0.0,0.0,-1369.69,927.26
55,2020-08-25,2577.38,546.54,0.0,170.97,78.13,353.59,659.64,157.01,384.14,0.0,0.0,0.0,0.0,0.0,-2313.42,1703.49
56,2020-08-26,2180.89,372.91,0.0,107.54,82.12,379.08,414.52,111.69,522.02,0.0,0.0,0.0,0.0,0.0,-1634.49,1020.36
57,2020-08-27,2604.05,732.96,0.0,105.94,93.03,326.12,358.82,101.13,657.59,0.0,0.0,0.0,0.0,0.0,-2274.0,1739.47
58,2020-08-28,3115.55,732.69,0.0,183.81,42.68,450.64000000000004,577.87,213.89,634.41,0.0,0.0,0.0,0.0,0.0,-2285.71,1909.03
59,2020-08-29,2137.25,422.15,0.0,98.05,44.36,384.17999999999995,240.4,180.05,577.6,0.0,0.0,0.0,0.0,0.0,-1754.39,1139.66
60,2020-08-30,2249.34,506.87,0.0,96.65,55.84,381.81,489.84,104.84,413.94,0.0,0.0,0.0,0.0,0.0,-1743.27,1242.04
61,2020-08-31,2505.53,593.68,83.5,91.69,93.84,434.40000000000003,347.19,137.37,504.44,0.0,0.0,0.0,0.0,0.0,-1927.05,1319.44
62,2020-09-01,2692.17,555.73,0.0,136.98,82.15,435.67,705.75,157.51,380.93,0.0,0.0,0.0,0.0,0.0,-1880.59,1219.28
63,2020-09-02,3033.23,549.43,0.0,132.45,105.75,425.70000000000005,746.15,111.82,694.71,0.0,0.0,0.0,0.0,0.0,-2520.33,1790.19
